S No.,Title,Decisions,Words
3573,Barley futures fall on subdued demand,"{""Barley futures"": ""negative""}",6
5300,Rupee little changed against dollar in early trade,"{""Rupee"": ""neutral"", ""dollar"": ""neutral""}",8
1991,"Gillette India promoters' OFS fully subscribed, stock up 5%","{""Gillette India"": ""positive""}",9
1206,Wonderla Holidays files Draft Red Herring Prospectus with SEBI for IPO,"{""Wonderla Holidays"": ""neutral"", ""SEBI"": ""neutral""}",11
4972,Euro drops back towards 2-week lows vs sterling on Ukraine news,"{""Euro"": ""negative"", ""sterling"": ""neutral""}",11
10461,"IPOs of Shree Pushkar Chemicals, ACB (India) get Sebi's nod","{""Shree Pushkar Chemicals"": ""positive"", ""ACB (India)"": ""positive""}",10
6784,"Fertiliser sector will be re-rated in a few months: Sudip Bandyopadhyay, Convexity Solutions","{""Fertiliser sector"": ""neutral"", ""Convexity Solutions"": ""neutral""}",13
3601,Monsoon Impact: Agri futures hit lower circuit,"{""Agri futures"": ""negative""}",7
6491,D-Street could move 2% on either side on Thursdays Fed outcome,"{""D-Street"": ""neutral""}",11
8610,Chinese markets bounce back over 6% on attempts to stem rout; state intervention to weigh,"{""Chinese markets"": ""positive""}",15
10731,"Gold, silver extend losses in global markets","{""Gold"": ""negative"", ""silver"": ""negative""}",7
8071,DSCL Q1 net jumps over three fold to Rs 114 crore,"{""DSCL"": ""positive""}",11
8578,"Keep UPL in your portfolio for long term returns: Deven Choksey, KR Choksey Securities","{""UPL"": ""positive"", ""KR Choksey Securities"": ""neutral""}",14
7974,Spot demand lifts lead prices by 0.69% at futures trade,"{""lead"": ""positive""}",10
1626,MRF clocks record profit in Q1,"{""MRF"": ""positive""}",6
537,BPCL hires four banks for US dollar bond offering,"{""BPCL"": ""neutral""}",9
8767,Barley futures decline on selling pressure,"{""Barley"": ""negative""}",6
7971,Sony shares hit 3-month high after Q1 profit beats estimates,"{""Sony"": ""positive""}",10
4213,Go short in metal stocks that are in green: Ashwani Gujral,"{""metal stocks"": ""negative""}",11
6457,Bank of China first Chinese bank to join gold price benchmark,"{""Bank of China"": ""neutral"", ""gold"": ""neutral"", ""Chinese bank"": ""neutral""}",11
3508,Copper futures fall 1.13% on global cues,"{""Copper futures"": ""negative""}",7
8394,"Radio Mirchi posts 16% jump in quarterly net profit, revenue grows 11.6%","{""Radio Mirchi"": ""positive""}",12
9525,Oracle Financial Services Software gains; Q1 net profit falls 16%,"{""Oracle Financial Services Software"": ""negative""}",10
7113,Infosys to beat NASSCOM estimate: Sudip Bandyopadhyay,"{""Infosys"": ""positive"", ""NASSCOM"": ""neutral""}",7
